,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",7/12/2025 11:00,26.10887,91.589544,PM10,53,187,132
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",7/12/2025 11:00,26.10887,91.589544,NH3,5,5,5
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",7/12/2025 11:00,26.1875,91.744194,PM10,37,129,87
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",7/12/2025 11:00,26.181742,91.78063,CO,28,102,62
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",7/12/2025 11:00,26.349082,92.68449,SO2,12,13,13
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",7/12/2025 11:00,13.20488,79.097889,NO2,17,23,21
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",7/12/2025 11:00,13.20488,79.097889,CO,36,60,48
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",7/12/2025 11:00,14.465052,78.824187,NO2,21,21,21
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",7/12/2025 11:00,14.465052,78.824187,CO,34,56,37
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",7/12/2025 11:00,16.9872867,81.7363176,NO2,17,55,30
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",7/12/2025 11:00,16.9872867,81.7363176,SO2,7,26,17
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",7/12/2025 11:00,26.446912,91.439057,OZONE,14,16,15
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",7/12/2025 11:00,26.987634,94.636574,CO,10,91,39
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",7/12/2025 11:00,26.146529,87.454184,PM2.5,50,302,171
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",7/12/2025 11:00,25.5626095,84.663264,PM10,81,183,143
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",7/12/2025 11:00,24.75746,84.366208,OZONE,3,54,28
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",7/12/2025 11:00,25.42742023,86.13886079,PM10,5,189,27
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",7/12/2025 11:00,25.42742023,86.13886079,NO2,17,25,20
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",7/12/2025 11:00,25.42742023,86.13886079,SO2,1,64,7
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",7/12/2025 11:00,26.80365,84.51954,SO2,2,9,6
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",7/12/2025 11:00,24.7955,84.9994,OZONE,18,20,20
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",7/12/2025 11:00,24.792403,84.992416,CO,38,44,41
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",7/12/2025 11:00,24.762518,84.982348,CO,20,46,44
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",7/12/2025 11:00,25.697189,85.2459,NH3,6,11,9
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",7/12/2025 11:00,16.536107,80.594233,SO2,13,20,16
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",7/12/2025 11:00,16.486692,80.699436,OZONE,39,90,39
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",7/12/2025 11:00,16.509717,80.612222,PM10,67,94,80
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",7/12/2025 11:00,16.509717,80.612222,NH3,3,7,6
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",7/12/2025 11:00,16.5150833,80.5181667,PM2.5,128,304,205
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",7/12/2025 11:00,13.67,79.35,OZONE,4,134,41
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",7/12/2025 11:00,21.237755,81.705301,PM2.5,43,157,102
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",7/12/2025 11:00,21.237755,81.705301,NO2,20,35,26
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",7/12/2025 11:00,21.237755,81.705301,SO2,5,15,7
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",7/12/2025 11:00,21.371751,81.664929,PM10,57,161,99
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",7/12/2025 11:00,21.371751,81.664929,NH3,3,3,3
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",7/12/2025 11:00,22.06631475,83.33820077,PM2.5,42,91,71
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",7/12/2025 11:00,21.185571,81.343175,SO2,7,11,8
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",7/12/2025 11:00,21.224231,81.40835,NH3,3,6,4
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",7/12/2025 11:00,21.224231,81.40835,CO,18,104,61
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",7/12/2025 11:00,22.118125,83.140608,NH3,6,6,6
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",7/12/2025 11:00,22.368195,82.746431,SO2,15,65,22
India,Bihar,Munger,"Town Hall, Munger - BSPCB",7/12/2025 11:00,25.376776,86.471523,CO,18,42,26
India,Bihar,Munger,"Town Hall, Munger - BSPCB",7/12/2025 11:00,25.376776,86.471523,OZONE,12,26,23
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",7/12/2025 11:00,26.11442,85.39813,PM2.5,76,218,149
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",7/12/2025 11:00,26.11442,85.39813,NH3,6,11,9
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",7/12/2025 11:00,26.1403345,85.3650192,PM10,60,78,69
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",7/12/2025 11:00,25.859655,85.77944,CO,48,87,55
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",7/12/2025 11:00,24.952822,84.002396,PM10,140,450,220
